AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4664.615234,4101.025391,4520,4392.820313,4368.717773,4688.717773,4432.307617,4720,3928.717773,4440.512695,4929.230469,4393.333008,4689.230469,4096.410156
4666.666504,4096.410156,4520.512695,4395.384277,4371.794922,4690.256348,4447.692383,4725.12793,3919.487061,4418.974121,4920.512695,4392.307617,4694.871582,4096.922852
4663.589844,4095.897217,4517.94873,4394.358887,4369.230469,4692.820313,4454.358887,4724.102539,3923.076904,4431.281738,4928.717773,4382.05127,4690.769043,4089.230713
4657.435547,4101.025391,4515.897461,4390.769043,4367.692383,4692.820313,4452.307617,4725.12793,3937.435791,4453.846191,4941.025391,4374.358887,4680.512695,4082.05127
4652.307617,4094.358887,4508.717773,4384.615234,4368.205078,4691.281738,4456.410156,4721.538574,3917.94873,4424.615234,4922.05127,4363.07666,4677.435547,4073.333252
4648.717773,4084.615234,4501.025391,4381.025391,4362.563965,4691.794922,4450.769043,4708.717773,3898.461426,4397.435547,4905.12793,4348.205078,4665.641113,4056.410156
4645.12793,4084.615234,4496.922852,4378.974121,4355.897461,4686.666504,4434.358887,4703.07666,3911.281982,4409.230469,4909.743652,4346.666504,4655.897461,4053.845947
4642.563965,4081.025635,4493.333008,4372.307617,4349.743652,4685.641113,4422.563965,4700.512695,3903.076904,4391.281738,4899.486816,4349.743652,4658.974121,4060.512695
4635.384277,4074.358887,4485.641113,4366.153809,4343.589844,4685.12793,4418.461426,4694.358887,3884.102539,4373.333008,4886.153809,4342.05127,4658.461426,4052.820313
4626.153809,4073.333252,4476.922852,4361.538574,4334.871582,4680.512695,4412.820313,4685.12793,3894.358887,4400.512695,4895.897461,4332.820313,4650.769043,4036.410156
4622.05127,4067.179443,4468.717773,4351.794922,4325.12793,4678.974121,4398.974121,4673.846191,3891.281982,4401.025391,4891.281738,4318.461426,4640.512695,4022.05127
